track_id,track_name,artists,year,years_active
4sSu9BtWSCWRNjGD2AvqbG,Psycho!,MASN,[2020],1
4uOBL4DDWWVx4RhYKlPbPC,Queencard,(G)I-DLE,[2023],1
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),"David Guetta, Bebe Rexha",[2025],1
4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,Steve Lacy,[2022],1
4i7HqWsN7iJzsXpsW5h1nb,Bad Habit - Sped Up,Steve Lacy,[2022],1
4S4QJfBGGrC8jRIjJHf1Ka,Pain,PinkPantheress,[2022],1
4YQgOgIElFtEvwJQ9ArWL7,FΛSHION,Britney Manson,[2024],1
4S8d14HvHb70ImctNgVzQQ,I Love It (& Lil Pump),"Kanye West, Lil Pump",[2019],1
4SqWKzw0CbA05TGszDgMlc,I Love You So,The Walters,[2022],1
4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,[2020],1
4VL5XwfATZuAVTW471Wpro,FUNKED UP - SLOWED,"xxanteria, isq",[2024],1
4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,"The Weeknd, Ariana Grande",[2025],1
4XdP1OCiSv3sc2jKnH2sGN,MONTAGEM DIAMANTE ROSA - SLOWED,vtze archive,[2024],1
4aMrd3aAnuVgGbwdmAQWY4,Shop,Toby Fox,[2019],1
4e8j13g40vQQVdxjHETBpn,Tom's Diner - Sped Up,"WHOCARES, Daniel Best, Jaime Deraz",[2025],1
4aarlAfLKVCTxUDNgbwhjH,Cry Baby (feat. DaBaby),"Megan Thee Stallion, DaBaby",[2021],1
4bQ7mjty0UVlKRalhizpGT,Vanished,Crystal Castles,[2024],1
4bYLspjdlNAV19Ej8bnwzo,,,[2021],1
4cHv3utKbcJrwONVXamDuA,SEQUÊNCIA MALÉFICA 1.0,RXPOSO99,[2024],1
4cS2HQ6jK80vqdY9ofpztx,She Wolf,Shakira,[2020],1
4dZTZbmJBCCofAExHwefda,Lottery (Renegade),K CAMP,[2020],1
5pyoxDZ1PX0KxBxiRVxA4U,BREAK MY SOUL,Beyoncé,[2022],1
5r5cp9IpziiIsR6b93vcnQ,Walking On A Dream,Empire Of The Sun,[2020],1
3rlUxMDbs9DFZn0NaFO305,Sneaky Link,"HXLLYWOOD, Glizzy G",[2021],1
76OGwb5RA9h4FxQPT33ekc,SNAP,Rosa Linn,[2022],1
728leu28MmgNznRIrt7PNc,2000 (sped up),"vowl., Sace",[2024],1
72Bz4ciRZPBcVSw0nrZDHi,Do It Again,"Pia Mia, Chris Brown, Tyga",[2020],1
748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),"Doja Cat, SZA",[2021],1
74fV8TuLZKVzSIOOGu8wwI,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),"Polo G, Stunna 4 Vegas, NLE Choppa, Mike WiLL Made-It",[2020],1
755inykyaG4w22GWAsA3MX,Marlboro Nights,Lonely God,[2019],1
762B4bOcXF7I2Y8UlKTyTy,Chiquitita,ABBA,[2021],1
78ML3F5Lz3KiNkpnFAaR3q,Good Girls Bad Guys,Falling In Reverse,[2019],1
705aTR8AfFQriJKpkUX0Jf,I FIND THE SUN,Kalu,[2025],1
78qd8dvwea0Gosb6Fe6j3k,Boss Bitch,Doja Cat,[2020],1
79MSEdtXuudhGhC5AtG07g,Break from Toronto,PARTYNEXTDOOR,[2021],1
7Adzy6kc6H1Da4wBVZ1XLN,Sunshine,"Ant Beale, Charlie Heat",[2019],1
7AwT9QW1Fo3ZHYeyztXnQI,Boys,Lizzo,[2019],1
7AzlLxHn24DxjgQX73F9fU,No Idea,Don Toliver,[2020],1
7BbKcMeJq9byJWruNi8Qwo,Take These Stars,Boy Beverly,[2025],1
70FceppUZq9dQz1mDPcHcs,Death Is No More,BLESSED MANE,[2024],1
6z7X1kFAhBl28VRfK4yRTn,Particles (Slowed),Viliam Lane,[2024],1
7CIERzyqIwLVKGp00YbHRO,Pain,PinkPantheress,[2021],1
6tDDoYIxWvMLTdKpjFkc1B,telepatía,Kali Uchis,[2021],1
6qNB2ChCVPepl5ZjVJJTUW,STUPID (feat. Yung Baby Tate),"Ashnikko, Baby Tate",[2019],1
6s2wJJL0u7X8yNcQH0ys2h,"Legs (From ""RuPaul's Drag Race 8"")","Lucian Piane, Myah Marie",[2019],1
6sUQqRmOcRyAG5M3EWXzr3,Don't Lose Ur Head,"SIX, Christina Modestou",[2019],1
6slWUMiyoNNWcQGu6tkTlH,Leni (Crystal Castles vs GoodBooks),"GoodBooks, Crystal Castles",[2022],1
6supMAknraGpJrN5qqYfV8,Good Form (feat. Lil Wayne) - Remix,"Nicki Minaj, Lil Wayne",[2021],1
6t3sBdc5SbMlk5AyGvMei2,3 Vets,The Future Kingz,[2020],1
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,Benson Boone,[2025],1
6yv0ZjBlZy2oRFq7jAis2C,Riptide,TWOPILOTS,[2025],1
6uvMKqNlrSvcC4NaKnrwjZ,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo",[2021],1
6vQEOP9KgXITsVpFnKSbZ3,Paradise,Braaheim,[2025],1
6vzLbfskWigBsCzNdB0kfE,Boys Ain't Shit,SAYGRACE,[2020],1
6wJYhPfqk3KGhHRG76WzOh,Blueberry Faygo,Lil Mosey,[2020],1
6xT4CGw2JdMqnDxkE5SbZB,Dark Red,Xenoner,[2022],1
6yt46G7lWn0oC2FEZZDsi6,Psycho Dreams (Sped Up),"Kill Eva, ENCASSATOR",[2024],1
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,Bella Poarch,[2021],1
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",[2025],1
6njJR3OIp3oA0Kc4aC9Tzf,MONTAGEM - PR FUNK,"S3BZS, Mc Gw, Mc Menor Do Alvorada",[2024],1
7tXCV0UwFwBxqum6i25you,Coño,"Puri, Jhorrmountain, Adje",[2020],1
7jRC721cBFirOoozPspfhT,40 Days N 40 Nights,Cutsewthedon,[2022],1
7jk7gqyEonmVVYahZN5zhW,Circus,Britney Spears,[2021],1
7lDAa0OYPVKB0NPqXKcbhC,Give me everything - instrumental + sped up,"Barbar60, meyiv, meydown",[2024],1
7nc7mlSdWYeFom84zZ8Wr8,Tell Em,"Cochise, $NOT",[2021],1
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,[2025],1
